municipality,P_installed (kWp),P_installed (MW)
6637,1471.841299872354,1471.841299872354
6638,7583.963740130408,7583.963740130408
6639,1501.280614035483,1501.280614035483
6640,9637.281078491693,9637.281078491693
6641,3608.579603204034,3608.579603204034
6642,5180.085328436515,5180.085328436515
6643,13767.159771601382,13767.159771601382
6644,8965.817994411229,8965.817994411229
6645,13282.11557877374,13282.11557877374
665,999.5466241701963,999.5466241701963
666,1309.0546049643565,1309.0546049643565
667,5656.786653745562,5656.786653745562
668,10317.378525562859,10317.378525562859
669,1434.116632453577,1434.116632453577
67,8459.696434641679,8459.696434641679
670,13624.016318079612,13624.016318079612
6702,3237.5679144344363,3237.5679144344363
6703,1212.218344517466,1212.218344517466
6704,1380.2001891624561,1380.2001891624561
6706,1689.106086732952,1689.106086732952
6708,8595.005542944577,8595.005542944577
6709,8838.501729457586,8838.501729457586
671,1278.7670604330738,1278.7670604330738
6710,6365.708281473178,6365.708281473178
6711,19619.46988529385,19619.46988529385
6712,4409.013715351907,4409.013715351907
6713,435.63160868923325,435.63160868923325
6715,2048.4246538906878,2048.4246538906878
6716,432.62862102369184,432.62862102369184
6718,1946.2948537106738,1946.2948537106738
6719,2166.947575126738,2166.947575126738
6721,2090.158448682176,2090.158448682176
6722,1114.5889997373056,1114.5889997373056
6724,1409.133801688526,1409.133801688526
6729,20401.661648401885,20401.661648401885
6730,10959.494147303829,10959.494147303829
6741,1016.1651801322154,1016.1651801322154
6742,3726.7997735716594,3726.7997735716594
6743,4141.4480258853855,4141.4480258853855
6744,79.54071283013315,79.54071283013315
6745,702.7298746219194,702.7298746219194
6748,1791.1221402775275,1791.1221402775275
6750,2814.608931357197,2814.608931357197
6751,2951.8425388914666,2951.8425388914666
6753,1991.749953314979,1991.749953314979
6754,4728.045502860339,4728.045502860339
6757,7281.672820785852,7281.672820785852
6758,963.445797695742,963.445797695742
6759,774.5277087065474,774.5277087065474
6771,5812.13610365857,5812.13610365857
6773,843.3621255087322,843.3621255087322
6774,4402.116794756018,4402.116794756018
6775,3005.685772117761,3005.685772117761
6778,2943.3345398718,2943.3345398718
6781,3028.419405596512,3028.419405596512
6782,3683.8706256445103,3683.8706256445103
6783,1229.96709599659,1229.96709599659
6784,6872.799580676839,6872.799580676839
6785,2469.4115231824544,2469.4115231824544
6787,832.3869979452003,832.3869979452003
6789,1794.771133740872,1794.771133740872
6790,5857.923483019091,5857.923483019091
6792,1747.9359874414351,1747.9359874414351
6793,925.2175979398255,925.2175979398255
68,3910.3957059491395,3910.3957059491395
6800,13423.818463158475,13423.818463158475
6806,2300.647926439507,2300.647926439507
6807,5778.417492177024,5778.417492177024
6808,5859.931211469906,5859.931211469906
6809,6287.6725373573645,6287.6725373573645
681,1002.3632948145388,1002.3632948145388
6810,6379.720368535563,6379.720368535563
683,743.4102691948439,743.4102691948439
687,902.1786630406871,902.1786630406871
69,16226.783804970952,16226.783804970952
690,4467.850531327683,4467.850531327683
691,1957.1855627296716,1957.1855627296716
692,1227.3544909139746,1227.3544909139746
694,1251.4638437393296,1251.4638437393296
696,1207.3100318241154,1207.3100318241154
7,4246.937796857021,4246.937796857021
70,1442.9891138157288,1442.9891138157288
700,13639.17598558685,13639.17598558685
701,1105.1960049412269,1105.1960049412269
703,5043.729750949333,5043.729750949333
704,738.9354444709317,738.9354444709317
706,2230.4671308183433,2230.4671308183433
707,778.0141526812213,778.0141526812213
709,56.32823900086933,56.32823900086933
71,4396.252935193694,4396.252935193694
711,1035.5539437987616,1035.5539437987616
713,6847.642031497722,6847.642031497722
716,2029.341077046585,2029.341077046585
717,9669.479775508857,9669.479775508857
72,7367.764048347919,7367.764048347919
723,5653.728787504082,5653.728787504082
724,2334.796584992651,2334.796584992651
726,6443.934339933015,6443.934339933015
731,3512.7539092471657,3512.7539092471657
732,3346.7402386502667,3346.7402386502667
733,6117.341187056766,6117.341187056766
734,1410.9718249905789,1410.9718249905789
735,1235.6760218835796,1235.6760218835796
736,1117.8325325343264,1117.8325325343264
737,1080.1195179013398,1080.1195179013398
738,2298.61342220795,2298.61342220795
739,5253.823606055138,5253.823606055138
740,1547.6465976213904,1547.6465976213904
741,1404.5467343839591,1404.5467343839591
742,2295.8834881968405,2295.8834881968405
743,5692.403103416188,5692.403103416188
744,5178.777700400954,5178.777700400954
745,5892.265961258626,5892.265961258626
746,5063.573835240271,5063.573835240271
747,1425.102095993963,1425.102095993963
